iter	Passed	Remaining
800	5169	1284
801	5175	1277
802	5181	1271
803	5187	1264
804	5192	1257
805	5198	1251
806	5204	1244
807	5210	1238
808	5216	1231
809	5221	1224
810	5227	1218
811	5233	1211
812	5238	1205
813	5244	1198
814	5250	1191
815	5255	1185
816	5261	1178
817	5267	1172
818	5273	1165
819	5279	1158
820	5285	1152
821	5292	1145
822	5298	1139
823	5304	1132
824	5310	1126
825	5316	1119
826	5321	1113
827	5327	1106
828	5332	1099
829	5339	1093
830	5344	1087
831	5350	1080
832	5356	1073
833	5361	1067
834	5366	1060
835	5372	1053
836	5378	1047
837	5384	1040
838	5390	1034
839	5396	1027
840	5403	1021
841	5408	1014
842	5414	1008
843	5420	1001
844	5427	995
845	5432	988
846	5438	982
847	5444	975
848	5449	969
849	5456	962
850	5462	956
851	5468	949
852	5473	943
853	5479	936
854	5484	930
855	5490	923
856	5496	917
857	5502	910
858	5508	904
859	5514	897
860	5519	891
861	5525	884
862	5530	878
863	5536	871
864	5542	864
865	5548	858
866	5554	852
867	5560	845
868	5566	839
869	5571	832
870	5576	825
871	5582	819
872	5587	812
873	5593	806
874	5599	799
875	5604	793
876	5610	786
877	5615	780
878	5621	773
879	5627	767
880	5633	760
881	5639	754
882	5645	747
883	5650	741
884	5656	734
885	5662	728
886	5668	722
887	5674	715
888	5679	709
889	5686	702
890	5692	696
891	5698	689
892	5704	683
893	5709	676
894	5715	670
895	5721	664
896	5727	657
897	5732	651
898	5739	644
899	5745	638
900	5750	631
901	5756	625
902	5762	619
903	5768	612
904	5774	606
905	5780	599
906	5785	593
907	5791	586
908	5796	580
909	5802	573
910	5807	567
911	5813	560
912	5819	554
913	5825	548
914	5831	541
915	5836	535
916	5842	528
917	5847	522
918	5854	515
919	5859	509
920	5865	503
921	5871	496
922	5876	490
923	5882	483
924	5888	477
925	5894	471
926	5899	464
927	5905	458
928	5911	451
929	5917	445
930	5922	438
931	5928	432
932	5934	426
933	5940	419
934	5946	413
935	5952	406
936	5958	400
937	5965	394
938	5970	387
939	5977	381
940	5983	375
941	5989	368
942	5995	362
943	6001	356
944	6007	349
945	6013	343
946	6018	336
947	6024	330
948	6030	324
949	6036	317
950	6041	311
951	6047	304
952	6052	298
953	6058	292
954	6064	285
955	6069	279
956	6075	272
957	6081	266
958	6087	260
959	6093	253
960	6099	247
961	6104	241
962	6110	234
963	6116	228
964	6121	222
965	6128	215
966	6134	209
967	6140	202
968	6147	196
969	6153	190
970	6158	183
971	6164	177
972	6170	171
973	6176	164
974	6181	158
975	6187	152
976	6193	145
977	6198	139
978	6204	133
979	6210	126
980	6215	120
981	6222	114
982	6228	107
983	6234	101
984	6240	95
985	6246	88
986	6252	82
987	6258	76
988	6264	69
989	6270	63
990	6276	57
991	6282	50
992	6289	44
993	6296	38
994	6303	31
995	6309	25
996	6316	19
997	6321	12
998	6327	6
999	6333	0
